,Detector,FPR Target,Error Type,Error Rate,Count,Total,model
0,gptzero,0.0001,Type I (False Positive),0.0,0,1992,GPT-4.1
1,gptzero,0.0001,Type II (False Negative),1.0,1992,1992,GPT-4.1
2,gptzero,0.0050,Type I (False Positive),0.0,0,1992,GPT-4.1
3,gptzero,0.0050,Type II (False Negative),1.0,1992,1992,GPT-4.1
4,gptzero,0.0100,Type I (False Positive),0.007028112449799197,14,1992,GPT-4.1
5,gptzero,0.0100,Type II (False Negative),0.002008032128514056,4,1992,GPT-4.1
6,gptzero,0.0500,Type I (False Positive),0.007028112449799197,14,1992,GPT-4.1
7,gptzero,0.0500,Type II (False Negative),0.002008032128514056,4,1992,GPT-4.1
8,gptzero,0.1000,Type I (False Positive),0.007028112449799197,14,1992,GPT-4.1
9,gptzero,0.1000,Type II (False Negative),0.002008032128514056,4,1992,GPT-4.1
10,originality,0.0001,Type I (False Positive),0.000547645125958379,1,1826,GPT-4.1
11,originality,0.0001,Type II (False Negative),0.28728070175438597,524,1824,GPT-4.1
12,originality,0.0050,Type I (False Positive),0.00547645125958379,10,1826,GPT-4.1
13,originality,0.0050,Type II (False Negative),0.07182017543859649,131,1824,GPT-4.1
14,originality,0.0100,Type I (False Positive),0.0104052573932092,19,1826,GPT-4.1
15,originality,0.0100,Type II (False Negative),0.03618421052631579,66,1824,GPT-4.1
16,originality,0.0500,Type I (False Positive),0.04764512595837897,87,1826,GPT-4.1
17,originality,0.0500,Type II (False Negative),0.0,0,1824,GPT-4.1
18,originality,0.1000,Type I (False Positive),0.08762322015334063,160,1826,GPT-4.1
19,originality,0.1000,Type II (False Negative),0.0,0,1824,GPT-4.1
20,pengram,0.0001,Type I (False Positive),0.000502008032128514,1,1992,GPT-4.1
21,pengram,0.0001,Type II (False Negative),0.009538152610441768,19,1992,GPT-4.1
22,pengram,0.0050,Type I (False Positive),0.0050200803212851405,10,1992,GPT-4.1
23,pengram,0.0050,Type II (False Negative),0.001004016064257028,2,1992,GPT-4.1
24,pengram,0.0100,Type I (False Positive),0.010040160642570281,20,1992,GPT-4.1
25,pengram,0.0100,Type II (False Negative),0.000502008032128514,1,1992,GPT-4.1
26,pengram,0.0500,Type I (False Positive),0.050200803212851405,100,1992,GPT-4.1
27,pengram,0.0500,Type II (False Negative),0.0,0,1992,GPT-4.1
28,pengram,0.1000,Type I (False Positive),0.10040160642570281,200,1992,GPT-4.1
29,pengram,0.1000,Type II (False Negative),0.0,0,1992,GPT-4.1
30,roberta-base-detector,0.0001,Type I (False Positive),0.000502008032128514,1,1992,GPT-4.1
31,roberta-base-detector,0.0001,Type II (False Negative),1.0,1992,1992,GPT-4.1
32,roberta-base-detector,0.0050,Type I (False Positive),0.0050200803212851405,10,1992,GPT-4.1
33,roberta-base-detector,0.0050,Type II (False Negative),0.9984939759036144,1989,1992,GPT-4.1
34,roberta-base-detector,0.0100,Type I (False Positive),0.010040160642570281,20,1992,GPT-4.1
35,roberta-base-detector,0.0100,Type II (False Negative),0.9954819277108434,1983,1992,GPT-4.1
36,roberta-base-detector,0.0500,Type I (False Positive),0.04969879518072289,99,1992,GPT-4.1
37,roberta-base-detector,0.0500,Type II (False Negative),0.9809236947791165,1954,1992,GPT-4.1
38,roberta-base-detector,0.1000,Type I (False Positive),0.10240963855421686,204,1992,GPT-4.1
39,roberta-base-detector,0.1000,Type II (False Negative),0.9417670682730924,1876,1992,GPT-4.1
0,gptzero,0.0001,Type I (False Positive),0.0,0,1992,Claude Opus 4
1,gptzero,0.0001,Type II (False Negative),1.0,1992,1992,Claude Opus 4
2,gptzero,0.0050,Type I (False Positive),0.0,0,1992,Claude Opus 4
3,gptzero,0.0050,Type II (False Negative),1.0,1992,1992,Claude Opus 4
4,gptzero,0.0100,Type I (False Positive),0.007530120481927711,15,1992,Claude Opus 4
5,gptzero,0.0100,Type II (False Negative),0.029116465863453816,58,1992,Claude Opus 4
6,gptzero,0.0500,Type I (False Positive),0.007530120481927711,15,1992,Claude Opus 4
7,gptzero,0.0500,Type II (False Negative),0.029116465863453816,58,1992,Claude Opus 4
8,gptzero,0.1000,Type I (False Positive),0.007530120481927711,15,1992,Claude Opus 4
9,gptzero,0.1000,Type II (False Negative),0.029116465863453816,58,1992,Claude Opus 4
10,originality,0.0001,Type I (False Positive),0.0005473453749315818,1,1827,Claude Opus 4
11,originality,0.0001,Type II (False Negative),0.5128626163108921,937,1827,Claude Opus 4
12,originality,0.0050,Type I (False Positive),0.005473453749315818,10,1827,Claude Opus 4
13,originality,0.0050,Type II (False Negative),0.23043240284619596,421,1827,Claude Opus 4
14,originality,0.0100,Type I (False Positive),0.010399562123700055,19,1827,Claude Opus 4
15,originality,0.0100,Type II (False Negative),0.13683634373289547,250,1827,Claude Opus 4
16,originality,0.0500,Type I (False Positive),0.047619047619047616,87,1827,Claude Opus 4
17,originality,0.0500,Type II (False Negative),0.007662835249042145,14,1827,Claude Opus 4
18,originality,0.1000,Type I (False Positive),0.08757525998905309,160,1827,Claude Opus 4
19,originality,0.1000,Type II (False Negative),0.0,0,1827,Claude Opus 4
20,pengram,0.0001,Type I (False Positive),0.000502008032128514,1,1992,Claude Opus 4
21,pengram,0.0001,Type II (False Negative),0.017570281124497992,35,1992,Claude Opus 4
22,pengram,0.0050,Type I (False Positive),0.0050200803212851405,10,1992,Claude Opus 4
23,pengram,0.0050,Type II (False Negative),0.0035140562248995983,7,1992,Claude Opus 4
24,pengram,0.0100,Type I (False Positive),0.010040160642570281,20,1992,Claude Opus 4
25,pengram,0.0100,Type II (False Negative),0.0015060240963855422,3,1992,Claude Opus 4
26,pengram,0.0500,Type I (False Positive),0.050200803212851405,100,1992,Claude Opus 4
27,pengram,0.0500,Type II (False Negative),0.000502008032128514,1,1992,Claude Opus 4
28,pengram,0.1000,Type I (False Positive),0.10040160642570281,200,1992,Claude Opus 4
29,pengram,0.1000,Type II (False Negative),0.000502008032128514,1,1992,Claude Opus 4
30,roberta-base-detector,0.0001,Type I (False Positive),0.000502008032128514,1,1992,Claude Opus 4
31,roberta-base-detector,0.0001,Type II (False Negative),1.0,1992,1992,Claude Opus 4
32,roberta-base-detector,0.0050,Type I (False Positive),0.0050200803212851405,10,1992,Claude Opus 4
33,roberta-base-detector,0.0050,Type II (False Negative),0.9964859437751004,1985,1992,Claude Opus 4
34,roberta-base-detector,0.0100,Type I (False Positive),0.010040160642570281,20,1992,Claude Opus 4
35,roberta-base-detector,0.0100,Type II (False Negative),0.9944779116465864,1981,1992,Claude Opus 4
36,roberta-base-detector,0.0500,Type I (False Positive),0.04969879518072289,99,1992,Claude Opus 4
37,roberta-base-detector,0.0500,Type II (False Negative),0.9678714859437751,1928,1992,Claude Opus 4
38,roberta-base-detector,0.1000,Type I (False Positive),0.10240963855421686,204,1992,Claude Opus 4
39,roberta-base-detector,0.1000,Type II (False Negative),0.927710843373494,1848,1992,Claude Opus 4
0,gptzero,0.0001,Type I (False Positive),0.0,0,1992,Claude Sonnet 4
1,gptzero,0.0001,Type II (False Negative),1.0,1990,1990,Claude Sonnet 4
2,gptzero,0.0050,Type I (False Positive),0.0,0,1992,Claude Sonnet 4
3,gptzero,0.0050,Type II (False Negative),1.0,1990,1990,Claude Sonnet 4
4,gptzero,0.0100,Type I (False Positive),0.006526104417670682,13,1992,Claude Sonnet 4
5,gptzero,0.0100,Type II (False Negative),0.008542713567839196,17,1990,Claude Sonnet 4
6,gptzero,0.0500,Type I (False Positive),0.006526104417670682,13,1992,Claude Sonnet 4
7,gptzero,0.0500,Type II (False Negative),0.008542713567839196,17,1990,Claude Sonnet 4
8,gptzero,0.1000,Type I (False Positive),0.006526104417670682,13,1992,Claude Sonnet 4
9,gptzero,0.1000,Type II (False Negative),0.008542713567839196,17,1990,Claude Sonnet 4
10,originality,0.0001,Type I (False Positive),0.0005473453749315818,1,1827,Claude Sonnet 4
11,originality,0.0001,Type II (False Negative),0.3215451577801959,591,1838,Claude Sonnet 4
12,originality,0.0050,Type I (False Positive),0.005473453749315818,10,1827,Claude Sonnet 4
13,originality,0.0050,Type II (False Negative),0.09630032644178455,177,1838,Claude Sonnet 4
14,originality,0.0100,Type I (False Positive),0.010399562123700055,19,1827,Claude Sonnet 4
15,originality,0.0100,Type II (False Negative),0.05386289445048966,99,1838,Claude Sonnet 4
16,originality,0.0500,Type I (False Positive),0.047619047619047616,87,1827,Claude Sonnet 4
17,originality,0.0500,Type II (False Negative),0.002720348204570185,5,1838,Claude Sonnet 4
18,originality,0.1000,Type I (False Positive),0.08757525998905309,160,1827,Claude Sonnet 4
19,originality,0.1000,Type II (False Negative),0.000544069640914037,1,1838,Claude Sonnet 4
20,pengram,0.0001,Type I (False Positive),0.000502008032128514,1,1992,Claude Sonnet 4
21,pengram,0.0001,Type II (False Negative),0.01104417670682731,22,1992,Claude Sonnet 4
22,pengram,0.0050,Type I (False Positive),0.0050200803212851405,10,1992,Claude Sonnet 4
23,pengram,0.0050,Type II (False Negative),0.001004016064257028,2,1992,Claude Sonnet 4
24,pengram,0.0100,Type I (False Positive),0.010040160642570281,20,1992,Claude Sonnet 4
25,pengram,0.0100,Type II (False Negative),0.000502008032128514,1,1992,Claude Sonnet 4
26,pengram,0.0500,Type I (False Positive),0.050200803212851405,100,1992,Claude Sonnet 4
27,pengram,0.0500,Type II (False Negative),0.0,0,1992,Claude Sonnet 4
28,pengram,0.1000,Type I (False Positive),0.10040160642570281,200,1992,Claude Sonnet 4
29,pengram,0.1000,Type II (False Negative),0.0,0,1992,Claude Sonnet 4
30,roberta-base-detector,0.0001,Type I (False Positive),0.000502008032128514,1,1992,Claude Sonnet 4
31,roberta-base-detector,0.0001,Type II (False Negative),1.0,1992,1992,Claude Sonnet 4
32,roberta-base-detector,0.0050,Type I (False Positive),0.0050200803212851405,10,1992,Claude Sonnet 4
33,roberta-base-detector,0.0050,Type II (False Negative),0.9979919678714859,1988,1992,Claude Sonnet 4
34,roberta-base-detector,0.0100,Type I (False Positive),0.010040160642570281,20,1992,Claude Sonnet 4
35,roberta-base-detector,0.0100,Type II (False Negative),0.9974899598393574,1987,1992,Claude Sonnet 4
36,roberta-base-detector,0.0500,Type I (False Positive),0.04969879518072289,99,1992,Claude Sonnet 4
37,roberta-base-detector,0.0500,Type II (False Negative),0.9794176706827309,1951,1992,Claude Sonnet 4
38,roberta-base-detector,0.1000,Type I (False Positive),0.10240963855421686,204,1992,Claude Sonnet 4
39,roberta-base-detector,0.1000,Type II (False Negative),0.9432730923694779,1879,1992,Claude Sonnet 4
0,gptzero,0.0001,Type I (False Positive),0.0,0,1992,Gemini 2.0 Flash
1,gptzero,0.0001,Type II (False Negative),1.0,1992,1992,Gemini 2.0 Flash
2,gptzero,0.0050,Type I (False Positive),0.0,0,1992,Gemini 2.0 Flash
3,gptzero,0.0050,Type II (False Negative),1.0,1992,1992,Gemini 2.0 Flash
4,gptzero,0.0100,Type I (False Positive),0.007530120481927711,15,1992,Gemini 2.0 Flash
5,gptzero,0.0100,Type II (False Negative),0.014558232931726908,29,1992,Gemini 2.0 Flash
6,gptzero,0.0500,Type I (False Positive),0.007530120481927711,15,1992,Gemini 2.0 Flash
7,gptzero,0.0500,Type II (False Negative),0.014558232931726908,29,1992,Gemini 2.0 Flash
8,gptzero,0.1000,Type I (False Positive),0.007530120481927711,15,1992,Gemini 2.0 Flash
9,gptzero,0.1000,Type II (False Negative),0.014558232931726908,29,1992,Gemini 2.0 Flash
10,originality,0.0001,Type I (False Positive),0.0005470459518599562,1,1828,Gemini 2.0 Flash
11,originality,0.0001,Type II (False Negative),0.07488986784140969,136,1816,Gemini 2.0 Flash
12,originality,0.0050,Type I (False Positive),0.005470459518599562,10,1828,Gemini 2.0 Flash
13,originality,0.0050,Type II (False Negative),0.008259911894273128,15,1816,Gemini 2.0 Flash
14,originality,0.0100,Type I (False Positive),0.010393873085339168,19,1828,Gemini 2.0 Flash
15,originality,0.0100,Type II (False Negative),0.003854625550660793,7,1816,Gemini 2.0 Flash
16,originality,0.0500,Type I (False Positive),0.047592997811816196,87,1828,Gemini 2.0 Flash
17,originality,0.0500,Type II (False Negative),0.0011013215859030838,2,1816,Gemini 2.0 Flash
18,originality,0.1000,Type I (False Positive),0.087527352297593,160,1828,Gemini 2.0 Flash
19,originality,0.1000,Type II (False Negative),0.0,0,1816,Gemini 2.0 Flash
20,pengram,0.0001,Type I (False Positive),0.0005030181086519115,1,1988,Gemini 2.0 Flash
21,pengram,0.0001,Type II (False Negative),0.02112676056338028,42,1988,Gemini 2.0 Flash
22,pengram,0.0050,Type I (False Positive),0.005030181086519115,10,1988,Gemini 2.0 Flash
23,pengram,0.0050,Type II (False Negative),0.0035211267605633804,7,1988,Gemini 2.0 Flash
24,pengram,0.0100,Type I (False Positive),0.01006036217303823,20,1988,Gemini 2.0 Flash
25,pengram,0.0100,Type II (False Negative),0.0030181086519114686,6,1988,Gemini 2.0 Flash
26,pengram,0.0500,Type I (False Positive),0.05030181086519115,100,1988,Gemini 2.0 Flash
27,pengram,0.0500,Type II (False Negative),0.001006036217303823,2,1988,Gemini 2.0 Flash
28,pengram,0.1000,Type I (False Positive),0.10010060362173039,199,1988,Gemini 2.0 Flash
29,pengram,0.1000,Type II (False Negative),0.001006036217303823,2,1988,Gemini 2.0 Flash
30,roberta-base-detector,0.0001,Type I (False Positive),0.000502008032128514,1,1992,Gemini 2.0 Flash
31,roberta-base-detector,0.0001,Type II (False Negative),1.0,1992,1992,Gemini 2.0 Flash
32,roberta-base-detector,0.0050,Type I (False Positive),0.0050200803212851405,10,1992,Gemini 2.0 Flash
33,roberta-base-detector,0.0050,Type II (False Negative),0.9974899598393574,1987,1992,Gemini 2.0 Flash
34,roberta-base-detector,0.0100,Type I (False Positive),0.010040160642570281,20,1992,Gemini 2.0 Flash
35,roberta-base-detector,0.0100,Type II (False Negative),0.9964859437751004,1985,1992,Gemini 2.0 Flash
36,roberta-base-detector,0.0500,Type I (False Positive),0.04969879518072289,99,1992,Gemini 2.0 Flash
37,roberta-base-detector,0.0500,Type II (False Negative),0.9829317269076305,1958,1992,Gemini 2.0 Flash
38,roberta-base-detector,0.1000,Type I (False Positive),0.10240963855421686,204,1992,Gemini 2.0 Flash
39,roberta-base-detector,0.1000,Type II (False Negative),0.9382530120481928,1869,1992,Gemini 2.0 Flash
