,detector,AUROC,Î”-Mean,FPR,FNR,Optimal Threshold,model
3,originality,1.0,0.995,0.0,0.0,1.0,GPT-4.1
0,pengram,0.9981,0.8638,0.0122,0.0183,0.0015,GPT-4.1
1,gptzero,0.9756,0.9512,0.0244,0.0244,1.0,GPT-4.1
2,roberta-base-detector,0.666,0.1893,0.3598,0.3963,0.9558,GPT-4.1
3,originality,1.0,0.6198,0.0,0.0,0.0149,Claude Opus 4
0,pengram,0.9952,0.7589,0.0244,0.0183,0.0003,Claude Opus 4
1,gptzero,0.9177,0.8354,0.0244,0.1402,1.0,Claude Opus 4
2,roberta-base-detector,0.7158,0.2255,0.5427,0.128,0.7722,Claude Opus 4
3,originality,1.0,0.9182,0.0,0.0,0.1641,Claude Sonnet 4
0,pengram,0.9979,0.8405,0.0244,0.0061,0.0003,Claude Sonnet 4
1,gptzero,0.9604,0.9207,0.0244,0.0549,1.0,Claude Sonnet 4
2,roberta-base-detector,0.7639,0.2601,0.3598,0.2012,0.9566,Claude Sonnet 4
3,originality,1.0,0.988,0.0,0.0,0.9883,Gemini 2.0 Flash
0,pengram,0.9921,0.7222,0.0245,0.0366,0.0004,Gemini 2.0 Flash
1,gptzero,0.9085,0.8171,0.0244,0.1585,1.0,Gemini 2.0 Flash
2,roberta-base-detector,0.6916,0.2089,0.5427,0.1524,0.7764,Gemini 2.0 Flash
